p1,,p5,,p9,
X,Y,X,Y,X,Y
0.05939393939393939,0.7274969173859434,0.015757575757575748,0.8976572133168927,0.0206060606060606,0.9408138101109741
0.12,0.46979038224414305,0.07030303030303031,0.7632552404438964,0.07515151515151514,0.8372379778051788
0.18181818181818177,0.3094944512946979,0.12363636363636366,0.5585696670776819,0.12848484848484848,0.8212083847102343
0.24121212121212127,0.18742293464858195,0.17939393939393944,0.5277435265104808,0.1842424242424242,0.7891491985203453
0.3006060606060606,0.15659679408138094,0.23272727272727278,0.5487053020961775,0.2339393939393939,0.7657213316892726
0.36121212121212126,0.13686806411837227,0.29696969696969694,0.5129469790382244,0.2884848484848485,0.7102342786683107
0.41090909090909095,0.09617755856966714,0.3503030303030303,0.5598027127003699,0.34787878787878784,0.7262638717632552
0.450909090909091,0.16769420468557328,0.40484848484848485,0.5277435265104808,0.4012121212121212,0.7163995067817509
0.5006060606060607,0.09617755856966714,0.45454545454545453,0.5067817509247842,0.45696969696969697,0.68557336621455
0.56,0.0863131935881627,0.5139393939393939,0.4870530209617756,0.5103030303030303,0.6843403205918619
0.6096969696969696,0.10604192355117137,0.5648484848484849,0.5191122071516646,0.5648484848484849,0.6485819975339088
0.6496969696969699,0.06658446362515413,0.6206060606060606,0.47102342786683105,0.6206060606060606,0.5684340320591861
0.7103030303030304,0.036991368680641123,0.6751515151515153,0.38964241676942046,0.6751515151515153,0.5585696670776819
0.770909090909091,0.055487053020961796,0.730909090909091,0.3699136868064118,0.730909090909091,0.47472256473489516
0.8400000000000001,0.007398273736128225,0.7854545454545454,0.2848335388409371,0.7721212121212122,0.3662145499383478
,,0.8387878787878789,0.14796547472256472,0.8387878787878789,0.2564734895191122
,,0.8678787878787879,0.04562268803945735,0.8521212121212121,0.12330456226880382
,,,,0.9066666666666665,0.05055487053020957
